volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
4705,1922,1922,1893,1922,m,us,50524,0.479335588496,0,1,352,"Marquand, John P.",The unspeakable gentleman,chirandom | teamred
10435,1934,1934,1906,1934,m,us,84301,0.677133721321,1,1,353,"Dickson, Carter,",The Plague court murders,chirandom | teamred | chimyst
11030,1927,1927,1882,1927,f,uk,69961,0.202155549205,0,1,353,"Woolf, Virginia,",To the lighthouse,teamblack | chirandom
11675,1941,1941,1890,1941,f,uk,55911,0.608226192362,1,1,349,"Christie, Agatha,",N or M?,teamblack | chirandom | chimyst
11416,1933,1933,1876,1933,f,uk,80348,0.440056405445,1,1,353,"White, Ethel Lina,",Put out the light,chirandom | teamred | chimyst
21079,1973,1973,1914,1973,m,us,70772,0.342151983069,0,1,353,"Berryman, John,",Recovery,chirandom | teamred
21569,1978,1978,1943,1978,m,us,64969,0.345690968318,1,1,353,"Sanchez, Thomas,",Zoot-suit murders,teamblack | chimyst
21560,1978,1978,1937,1978,m,us,53628,0.671884261413,1,1,353,"Mcdonald, Gregory,",Fletch's fortune,teamred | chimyst
20270,1957,1957,1928,1957,m,us,64957,0.395378828255,0,1,352,"Dick, Philip K,",Eye in the sky,teamblack | chirandom | chiscifi
22492,1986,1986,0,1986,f,us,72080,0.606050672222,1,1,352,"Dunlap, Susan,",The last annual slugfest,teamblack | stew | chimyst
10250,1926,1926,1884,1926,m,us,22643,0.558746939466,1,1,353,"Biggers, Earl Derr,",Fifty candles,teamred | det100 | chimyst
10298,1928,1928,-194,1928,f,us,67382,0.685249105186,1,1,353,"Wells, Carolyn,",Deep-Lake mystery,teamblack | stew | chimyst
11736,1943,1943,1878,1943,f,uk,75325,0.67338544943,1,1,351,"Wentworth, Patricia,",Miss Silver deals with de,chirandom | teamred | chimyst
21211,1974,1974,1911,1974,m,us,52252,0.720452504388,1,1,351,"Platt, Kin,",The giant kill,teamred | stew | chimyst
20218,1956,1956,1901,1956,m,us,64718,0.726496964327,1,1,352,"Coxe, George Harmon,",Man on a rope,teamblack | chimyst
20350,1958,1958,1912,1958,m,us,188735,0.33694516186,0,1,353,"Taylor, Robert Lewis,",The travels of Jaimie McP,chirandom | teamred
11860,1948,1948,1901,1948,f,uk,78699,0.650513050124,1,1,353,"Mitchell, Gladys,",The Dancing Druids,teamblack | chimyst
10490,1936,1936,1908,1936,f,us,75557,0.362353181005,0,1,353,"Gellhorn, Martha,",The trouble I've seen,chirandom | teamred
22029,1982,1982,1924,1982,m,us,79868,0.742301709305,1,1,352,"Wilcox, Collin,",Stalking horse,teamblack | stew | chimyst
10983,1950,1950,1901,1950,m,us,67670,0.730079055965,1,1,352,"Coxe, George Harmon,",The frightened fiancï¿½e,teamred | chimyst
10202,1950,1950,1909,1950,m,us,94091,0.262653979487,0,1,353,"Castor, Henry,",The year of the Spaniard,chirandom | teamred
4748,1922,1922,1877,1922,m,us,33444,0.201611232678,0,1,352,"Traprock, Walter E.",My northern exposure,teamblack | chirandom
23139,1989,1989,1936,1989,m,us,102868,0.386443910344,0,1,353,"McMurtry, Larry,",Some can whistle,teamblack | chirandom
