docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,genretags
nyp.33433075840177,8671920,12901139,,"Lesuire, Robert Martin,",London;Pri,1764,1737,1760,,Social lif,The savages of Europe,fr,m,teamred | random
hvd.hw3q0s,9706391,10438442,PQ2039.A45,"Rousseau, Jean-Jacques,",Philadelph,1796,1712,1761,v.3,,Eloisa: or A series of or,fr,m,teamred | random
dul1.ark+=13960=t6446jc6s,10943923,22883408,,Anonymous4,"Naples, Pr",1764,,1764,v.2,Italy;Anvi,The memoirs of Miss D'Arv,uk,,teamblack | random
njp.32101067487007,8958204,7121717,,"Walpole, Horace,",Edinburgh;,1811,1717,1764,,,The castle of Otranto;,uk,m,teamred | pbgothic
nyp.33433081958500,8676577,3502928,,"Mercier, Louis-Sébastien,",Liverpool;,1802,1740,1771,,Utopias in,Memoirs of the year two t,fr,m,teamblack | anatscifi
nyp.33433074955331,8663523,16105885,,Henrietta.,London;Pri,1777,,1777,v. 2,English fi,Letters from Henrietta to,uk,f,teamblack | random
uc2.ark+=13960=t1td9p949,7670886,3916924,,"Reeve, Clara,",London;E. ,1778,1729,1777,,,The old English baron,uk,f,teamblack | pbgothic
hvd.hn6nee,9712518,14355624,PQ1995.L75L5415 1798,"Leprince de Beaumont,",London;Printed for James Wallis ...;1798.,1798,1711,1780,v.2,,Letters of Madame Du Montier,fr,f,teamblack | random
mdp.39015078572263,1420444,57015433,,"Campe, Joachim Heinrich,",London;J. ,1788,1746,1780,v.1-2,"Voyages, I",The new Robinson Crusoe;,ge,m,teamblack | random
mdp.39015024230610,1796037,5236729,,"Genlis, Stéphanie Félicité",London;Pri,1785,1746,1785,v.4,,Tales of the castle;,fr,f,teamred | random
mdp.39015039369650,167757,32136573,,"Lee, Sophia,",London;T. ,1804,1750,1785,v.2,,The recess;,uk,f,teamblack | pbgothic
dul1.ark+=13960=t3vt2js1t,10942285,13274424,,"Bennett, Anna Maria,",Dublin;Whi,1786,,1786,v.1,Publisher;,"Anna; or, Memoirs of a Welch Heiress",uk,f,teamred | random
uiuo.ark+=13960=t9h41nx14,8724075,629922,,"Beckford, William,",London;Pri,1816,1760,1786,,,Vathek,uk,m,teamblack | pbgothic
