widen	1
crouched	2
purposes	1
technological	1
portion	2
spintriae	1
wings	6
darling	4
salad	4
roll	3
stanched	1
neat	4
fingering	1
hockey	1
magnitude	1
member	1
rooftops	1
hunch	7
distinguished	1
sorry	15
inter	2
navy	1
pipit–quaint	1
intrusion	1
get	106
alleged	2
multiwheeled	1
wheel	6
wrong	7
usual	10
factly	1
likable	1
wavered	1
rode	4
rakishly	1
public	2
sentences	1
various	5
nothing	38
minute	4
galloping	2
type	6
projector	1
worse	8
available	2
creative	2
sky	6
personal	13
shielding	2
deadly	6
closely	5
worst	2
descriptions	1
range	3
anxious	4
organically	1
transferee	1
folks	2
floridity	1
levelled	1
cautious	1
corinthian	1
cardinals	1
me–have	1
you're	33
courtliness	1
surely	6
puzzlingly	1
going	69
waving	2
reawakening	1
coughed	1
khaki	3
reply	3
serious	3
ample	1
tougher	3
layout	2
collars	1
setup	1
judging	1
delicate	2
preference	1
unmannerly	1
soothingly	1
protruding	1
scaffolding	1
mammoths	1
tensely	2
scientists	5
cautiously	1
malevolent	1
supremely	1
white	47
slight	6
nights	4
impressed	1
integrity–and	1
proportion	2
bankers	2
villages	1
hedges	2
prejudice	2
incident	5
unexpectedly	11
freed	2
finger–which	1
backward	2
belatedly	1
lane	4
land	10
car–when	1
brother	1
lordy	2
twenty	2
pretty	7
hair–light	1
looks	9
grinning	4
reactive	1
difficult	12
yours	10
ancestry	1
champs	1
space	27
warn	2
trudged	1
suits	2
gimpy	1
bite	4
violence	4
accompaniment	1
preparing	2
unaware	1
seemed	59
losing	1
island	5
mockingly	1
suite	9
dying	2
versions	1
slant	1
mahogany	5
vehicles	5
bitter	2
dismissing	1
time	106
slang	3
island–whether	1
armed	5
matter	26
interworld	6
pipit	84
kinds	1
gentlemen	2
gravity	1
nails	1
anxiously	4
suggest	1
hummed	1
doggerel–but	1
speech	3
poetic	7
one–had	2
settled	5
instinctively	4
lilac	1
present–were	1
engine	6
hedge	2
father	7
veteran	1
movie	1
greet	2
claret	1
daft	1
paint	4
minions	1
effort	6
round	2
security	5
ironmongery	1
biting	1
nestled	1
suetonius	1
dim	1
rooms–a	1
precision	2
did	78
die	4
tumbling	1
flamed	1
dis	2
hysterical	1
blissful	1
voice	42
suckers	1
expert	2
word	25
wore	5
gleamed	5
received	6
worn	4
leaving	13
unsympathetic	1
alarm	4
work	33
importance	7
ageing	1
historical	1
blindly	1
attaining	1
impending	1
genuinely	2
tradition	1
browning	1
objective	1
symmetrical	1
abetted	2
connexions	2
accommodate	1
apartment	2
habitability	1
prided	1
terrible	3
guidance	3
grade	1
college	1
effete	1
thought	64
ceased	2
friendly	2
spurn	1
revolution–during	1
calmly	4
familes	1
unuttered	1
dreamed	2
capital	5
or–for	1
diversion	2
ocean	1
projects	1
christmas	1
harshly	1
catch	3
jacketed	1
visiting	4
satiation	1
balefully	1
growling	1
possibility	4
merited	2
revolt	2
desolation	1
whys	1
resented	3
forgotten	4
outlet	2
windy	1
unpleasant	5
york"–the	1
desert	2
gravel	6
compotes	1
keeping	3
midwest–tied	1
verse–i	1
his–counterpart	1
goatee	1
asinine	1
citizen	2
including	1
happen	14
lobby	11
compartment	3
existence	4
mouthed	1
hail	1
nonsense	1
manumitted	1
polished	1
ego	3
birth	1
swelter	1
sad–the	1
hair	19
rush	1
extremely	9
closing	4
notch	2
fierce	1
richness	1
approached	4
muttered	6
revert	1
ranges–up	1
women	11
disarmed	1
irregular	3
handled	4
privateer	1
conjunction	1
industrialists	1
clowning	1
inspired	1
rumpled	2
unashamedly	1
shred	1
unlock	1
rulers	2
fourteen	6
poorly	3
helplessly	2
scowled	2
respect	3
presumably	1
spooned	1
passage	1
apace	1
intellectual	1
raided	2
explained	7
freedom	3
dismissed	2
ignorant	1
powder	3
wood	2
shifts	1
drinks	5
soiled	1
plenipotentiaries	1
grip	3
this–horelle–was	1
sowed	1
how	80
becoming	3
streets	3
bulldog	2
stout	1
piping	1
weapons	12
good-humoured	1
grim	2
inconvenient	1
fuzzy	1
ill	7
faithful	1
meagre	1
foppish	1
lucky	2
tumblers	1
supposedly	2
fish	2
local	7
stuffy	1
wheeling	1
military	9
ferreted	1
endeavour	1
despised	2
achieved	5
unemotionally	1
subsided	3
acted	1
perhaps	36
virtually	6
compliment	1
makes	9
rum	5
run	10
ruffian	1
parquet	1
upper	5
snouts	1
do–or	1
dance	2
bienville	4
enhanced	1
fall	1
spotting	2
trap	4
lamp	2
openly	3
hastily	2
talk	19
headlights	1
tray	4
concentration	3
operator	3
tall	19
gay	7
surprisingly	4
revolutionary	2
map	8
abide	2
messages	1
courteously	1
may	39
fully	8
vehicle	14
mad	6
panoply	1
spectroscopic	1
bigger	1
face–was	1
new–	1
pounded	1
vague	5
gathering	4
sell	2
mystery	3
unknown	1
testily	1
greeting	3
hunk	1
unhappy	2
edges	1
water	9
gap	2
mack	1
wait–and	1
stowed	5
windshield	1
need	16
typically	1
hesitation	2
sacrificing	1
get–or	1
devoted	1
name–horelle	1
accept	2
awfully	3
successfully	4
grits	1
salute	4
referring	1
verse	7
strange	16
