name	size	floor	ceiling	meandate	accuracy	features	regularization	i
gothic0	160	1760	1989	1892	0.834375	6400	0.1	0
gothic1	160	1760	1989	1898	0.81875	6400	10	1
gothic2	160	1761	1989	1898	0.84375	5600	0.1	2
gothic3	160	1760	1989	1894	0.840625	6400	0.01	3
gothic4	160	1764	1989	1894	0.828125	5200	0.01	4
gothic5	160	1764	1989	1896	0.83125	5400	0.01	5
gothic6	160	1761	1989	1891	0.803125	5200	0.1	6
gothic7	160	1760	1989	1892	0.865625	3800	0.1	7
gothic8	160	1764	1989	1890	0.821875	5800	10	8
gothic9	160	1764	1989	1893	0.809375	4400	1	9
gothic10	160	1761	1989	1891	0.81875	800	0.01	10
gothic11	160	1760	1989	1898	0.83125	6400	0.1	11
gothic12	160	1764	1989	1897	0.821875	5000	1	12
gothic13	160	1764	1989	1897	0.815625	3000	0.01	13
gothic14	160	1760	1989	1896	0.81875	4800	0.01	14
gothic15	160	1764	1989	1895	0.828125	5400	0.001	15
gothic16	160	1760	1989	1893	0.840625	2400	0.01	16
gothic17	160	1760	1989	1896	0.86875	4800	0.1	17
gothic18	160	1760	1989	1893	0.853125	6200	0.1	18
gothic19	160	1764	1989	1897	0.846875	3600	0.1	19
gothic20	160	1760	1989	1895	0.85	4800	0.1	20
gothic21	160	1760	1989	1893	0.8375	6400	0.1	21
gothic22	160	1760	1989	1892	0.840625	5800	0.01	22
gothic23	160	1761	1989	1892	0.821875	3800	0.01	23
gothic24	160	1760	1989	1895	0.825	4200	0.1	24
gothic25	160	1764	1989	1892	0.815625	3000	0.01	25
gothic26	160	1760	1989	1896	0.815625	3000	0.01	26
gothic27	160	1760	1989	1896	0.840625	2400	0.01	27
gothic28	160	1764	1989	1897	0.8125	2200	0.01	28
gothic29	160	1760	1989	1894	0.84375	3000	0.01	29
gothic30	160	1764	1989	1895	0.834375	1000	0.01	30
gothic31	160	1760	1989	1895	0.85	4000	0.01	31
gothic32	160	1761	1989	1896	0.846875	5200	0.01	32
gothic33	160	1760	1989	1896	0.8125	5400	0.001	33
gothic34	160	1760	1989	1898	0.834375	5400	0.1	34
